kategori,kanji,hiragana,katakana,romaji,indo,eng,tipe
angka,一,いち,,ichi,satu,one,number
angka,二,に,,ni,dua,two,number
angka,三,さん,,san,tiga,three,number
angka,四,よん,,yon,empat,four,number
angka,五,ご,,go,lima,five,number
angka,六,ろく,,roku,enam,six,number
angka,七,なな,,nana,tujuh,seven,number
angka,八,はち,,hachi,delapan,eight,number
angka,九,きゅう,,kyuu,sembilan,nine,number
angka,十,じゅう,,juu,sepuluh,ten,number
angka,十一,じゅういち,,juuichi,sebelas,eleven,number
angka,十二,じゅうに,,juuni,dua belas,twelve,number
angka,十三,じゅうさん,,juusan,tiga belas,thirteen,number
angka,十四,じゅうよん,,juuyon,empat belas,fourteen,number
angka,十五,じゅうご,,juugo,lima belas,fifteen,number
angka,十六,じゅうろく,,juuroku,enam belas,sixteen,number
angka,十七,じゅうなな,,juunana,tujuh belas,seventeen,number
angka,十八,じゅうはち,,juuhachi,delapan belas,eighteen,number
angka,十九,じゅうきゅう,,juukyuu,sembilan belas,nineteen,number
angka,二十,にじゅう,,nijuu,dua puluh,twenty,number
angka,二十一,にじゅういち,,nijuuichi,dua puluh satu,twenty-one,number
angka,二十二,にじゅうに,,nijuuni,dua puluh dua,twenty-two,number
angka,二十一,にじゅういち,,nijuuichi,dua puluh satu,twenty-one,number
angka,二十二,にじゅうに,,nijuuni,dua puluh dua,twenty-two,number
angka,二十一,にじゅういち,,nijuuichi,dua puluh satu,twenty-one,number
angka,二十二,にじゅうに,,nijuuni,dua puluh dua,twenty-two,number
angka,二十一,にじゅういち,,nijuuichi,dua puluh satu,twenty-one,number
angka,二十二,にじゅうに,,nijuuni,dua puluh dua,twenty-two,number
angka,二十一,にじゅういち,,nijuuichi,dua puluh satu,twenty-one,number
angka,二十二,にじゅうに,,nijuuni,dua puluh dua,twenty-two,number
angka,二十一,にじゅういち,,nijuuichi,dua puluh satu,twenty-one,number
angka,二十二,にじゅうに,,nijuuni,dua puluh dua,twenty-two,number
angka,二十一,にじゅういち,,nijuuichi,dua puluh satu,twenty-one,number
tanggal,一日,ついたち,,tsuitachi,1,1st,number
tanggal,二日,ふつか,,futsuka,2,2nd,number
tanggal,三日,みっか,,mikka,3,3rd,number
tanggal,四日,よっか,,yokka,4,4th,number
tanggal,五日,いつか,,itsuka,5,5th,number
tanggal,六日,むいか,,muika,6,6th,number
tanggal,七日,なのか,,nanoka,7,7th,number
tanggal,八日,ようか,,youka,8,8th,number
tanggal,九日,ここのか,,kokonoka,9,9th,number
tanggal,十日,とおか,,tooka,10,10th,number
tanggal,十一日,じゅういちにち,,juuichinichi,11,11th,number
tanggal,十二日,じゅうににち,,juuninichi,12,12th,number
tanggal,十三日,じゅうさんにち,,juusannichi,13,13th,number
tanggal,十四日,じゅうよっか,,juuyokka,14,14th,number
tanggal,十五日,じゅうごにち,,juugonichi,15,15th,number
tanggal,十六日,じゅうろくにち,,juurokunichi,16,16th,number
tanggal,十七日,じゅうしちにち,,juushichinichi,17,17th,number
tanggal,十八日,じゅうはちにち,,juuhachinichi,18,18th,number
tanggal,十九日,じゅうくにち,,juukunichi,19,19th,number
tanggal,二十日,はつか,,hatsuka,20,20th,number
tanggal,二十一日,にじゅういちにち,,nijuuichinichi,21,21st,number
tanggal,二十二日,にじゅうににち,,nijuuninichi,22,22nd,number
tanggal,二十三日,にじゅうさんにち,,nijuusannichi,23,23rd,number
tanggal,二十四日,にじゅうよっか,,nijuuyokka,24,24th,number
tanggal,二十五日,にじゅうごにち,,nijuugonichi,25,25th,number
tanggal,二十六日,にじゅうろくにち,,nijuurokunichi,26,26th,number
tanggal,二十七日,にじゅうしちにち,,nijuushichinichi,27,27th,number
tanggal,二十八日,にじゅうはちにち,,nijuuhachinichi,28,28th,number
tanggal,二十九日,にじゅうくにち,,nijuukunichi,29,29th,number
tanggal,三十日,さんじゅうにち,,sanjuunichi,30,30th,number
waktu,一時,いちじ,,ichiji,jam satu,one o'clock,noun
waktu,二時,にじ,,niji,jam dua,two o'clock,noun
waktu,三時,さんじ,,sanji,jam tiga,three o'clock,noun
waktu,四時,よじ,,yoji,jam empat,four o'clock,noun
waktu,一時,いちじ,,ichiji,jam satu,one o'clock,noun
waktu,二時,にじ,,niji,jam dua,two o'clock,noun
waktu,三時,さんじ,,sanji,jam tiga,three o'clock,noun
waktu,四時,よじ,,yoji,jam empat,four o'clock,noun
waktu,一時,いちじ,,ichiji,jam satu,one o'clock,noun
waktu,二時,にじ,,niji,jam dua,two o'clock,noun
waktu,三時,さんじ,,sanji,jam tiga,three o'clock,noun
waktu,四時,よじ,,yoji,jam empat,four o'clock,noun
waktu,一時,いちじ,,ichiji,jam satu,one o'clock,noun
waktu,二時,にじ,,niji,jam dua,two o'clock,noun
waktu,三時,さんじ,,sanji,jam tiga,three o'clock,noun
waktu,四時,よじ,,yoji,jam empat,four o'clock,noun
